주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,운영요일,주차기본시간,주차기본요금(원),추가단위시간,추가단위요금(원),1일주차권요금적용시간,1일주차권요금(원),월정기권요금(원),결제방법,특기사항,관리기관명,전화번호,데이터기준일자,기본요금
20,만석공원 제2,공영,공원,장안구 송죽동 228,장안구 송죽동 228,61,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,180분,,24시간,5000,주간(9~19시) 20000 / 야간(19시~9시) 20000 / 전일 40000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
21,만석공원 제3,공영,공원,장안구 송죽동 318,장안구 송죽동 318,50,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,180분,,24시간,5000,주간(9~19시) 20000 / 야간(19시~9시) 20000 / 전일 40000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
22,만석공원 제4,공영,공원,장안구 송죽동 346-6,장안구 송죽동 346-6,43,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,180분,,24시간,5000,주간(9~19시) 20000 / 야간(19시~9시) 20000 / 전일 40000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
23,매탄공원,공영,공원,영통구 매탄동 811,영통구 매탄동 811,222,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,180분,,24시간,5000,40000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
24,신대호수(제3주차장),공영,공원,영통구 하동 1008,영통구 하동 1008,245,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,180분,,24시간,5000,없음,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
25,원천호수공원(제1주차장),공영,공원,영통구 하동 1024,영통구 하동 1024,396,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,180분,,24시간,5000,없음,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
26,행복한들(제2주차장),공영,공원,영통구 하동 1026-1,영통구 하동 1026-1,229,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,180분,,24시간,5000,없음,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
27,권선지하,공영,주택가,권선구 권선동 980,권선구 권선동 980,66,주2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,200,24시간,4000,40000 / 30000 / 50000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
28,남수동,공영,주택가,팔달구 남수동 41-7,팔달구 남수동 41-7,63,주2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,200,24시간,4000,40000 / 30000 / 50000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
29,매봉공영,공영,주택가,영통구 매탄동 1210,영통구 매탄동 1210,200,주2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,200,24시간,4000,40000 / 30000 / 50000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
30,영화동,공영,주택가,장안구 영화동 250-1,장안구 영화동 250-1,212,주2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,200,24시간,4000,40000 / 30000 / 50000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
31,우만공원,공영,주택가,팔달구 우만동 500,팔달구 우만동 500,119,주2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,200,24시간,4000,40000 / 30000 / 50000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
32,인계동주택,공영,주택가,팔달구 인계동 821-2,팔달구 인계동 821-2,80,주2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,200,24시간,4000,40000 / 30000 / 50000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
33,장안동공영,공영,주택가,팔달구 장안동 51,팔달구 장안동 51,138,주1,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,6000,54000 / 35000 / 70000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
34,연무동공영,공영,주택가,장안구 경수대로 743번길 57(연무동),장안구 경수대로 743번길 57(연무동),158,주2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,200,24시간,4000,40000 / 30000 / 50000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
35,신동 제1공영,공영,주택가,영통구 신동 931-5,영통구 신동 931-5,62,주2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,200,24시간,4000,40000 / 30000 / 50000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
36,대황교화물,공영,화물,권선구 대황교동 31-3,권선구 대황교동 31-3,244,3,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,승용차 400/2.5~4.5톤 800/4.5톤이상 1200,10분,100/200/300,24시간, 3500/7000/10500 ,35000 / 20000 / 40000/ 70000 / 40000 / 80000 / 105000 / 60000 / 120000,카드전용,없음,수원도시공사,031-267-4753,2024-12-31,1000
37,수원화물공영차고지(고색),공영,화물,권선구 고색동 1196,권선구 고색동 1196,208,3,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,승용차 400/2.5~4.5톤 800/4.5톤이상 1200,10분,100/200/300,24시간, 3500/7000/10500 ,35000 / 20000 / 40000/ 70000 / 40000 / 80000 / 105000 / 60000 / 120000,카드전용,없음,수원도시공사,031-278-9206,2024-12-31,1000
38,곡반정동 제2공영,공영,노외,권선구 곡반정동 553,권선구 곡반정동 553,204,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
39,터미널공영,공영,노외,권선구 권선동 1212,권선구 권선동 1212,51,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
40,교동공영,공영,노외,팔달구 교동 98,팔달구 교동 98,243,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
41,인계공영,공영,노외,팔달구 인계동 944,팔달구 인계동 944,56,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
42,창룡공영,공영,노외,팔달구 우만동 582,팔달구 우만동 582,87,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
43,백설공영,공영,노외,장안구 정자동 879-3,장안구 정자동 879-3,56,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
44,율전공영 율전 제2공영(46면),공영,노외,장안구 율전동 433-2,장안구 율전동 433-2,118,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
45,화홍문공영,공영,노외,장안구 영화동 152-2,장안구 영화동 152-2,497,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
46,광교1동공영,공영,노외,영통구 이의동 1274,영통구 이의동 1274,35,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
47,광교대학로공영,공영,노외,영통구 이의동 1260-6,영통구 이의동 1260-6,49,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
48,광교중앙마을공영,공영,노외,영통구 원천동 577,영통구 원천동 577,46,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,토요일/ 일요일 무료개방,수원도시공사,031-695-0930,2024-12-31,1000
49,카페거리 1공영,공영,노외,영통구 이의동 1307-3,영통구 이의동 1307-3,64,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
50,영통공영,공영,노외,영통구 영통동 995-3,영통구 영통동 995-3,305,1,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,400,24시간,9500,72000 / 48000 / 80000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
51,수원역세권1지구,공영,노외,권선구 서둔동 393,권선구 서둔동 393,100,1,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,400,24시간,9500,72000 / 48000 / 80000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
52,파장동맛고을,공영,노외,장안구 파장동 338-18,장안구 파장동 338-18,70,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
53,곡반정동 제7공영,공영,노외,권선구 곡반정동 652-1,권선구 곡반정동 652-1,92,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
54,우만2동공영주차장,공영,노외,팔달구 우만동 72-3,팔달구 우만동 72-3,173,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
55,화서시장공영,공영,노외,팔달구 화서동 98-16,팔달구 화서동 98-16,159,1,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,400,24시간,9500,없음,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
56,곡반제8공영,공영,노외,권선구 곡반정로 158번길 4,권선구 곡반정로 158번길 4,271,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,없음,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
57,구운공원공영,공영,노외,권선구 구운로 14번길 42,권선구 구운로 14번길 42,69,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
58,광교외식타운,공영,노외,영통구 이의동 1220-1번지,영통구 이의동 1220-1번지,33,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,없음,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
59,화서동먹거리촌,공영,노외,팔달구 화서동 678-1번지,팔달구 화서동 678-1번지,142,1,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,400,24시간,9500,없음,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
60,망포공영,공영,노외,영통구 영통로 200번길 1,영통구 영통동 980-2번지외 1필지,179,1,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,400,24시간,9500,72000 / 48000 / 80000,카드전용,토요일/ 일요일 무료개방,수원도시공사,031-695-0930,2024-12-31,1000
